date,open,high,low,close,volume,prev_closing_price
2008-03-06,4999.75,5065.0,4940.0,4996.25,19830,4973.75
2008-03-09,5060.0,5199.0,4710.0,4863.0,33825,4996.25
2008-03-09,5060.0,5199.0,4710.0,4863.0,33825,4996.25
2008-03-10,4900.0,4948.0,4781.0,4838.75,15590,4863.0
2008-03-11,4800.0,4800.0,4669.75,4693.75,19835,4838.75
2008-03-12,4651.0,4660.0,4550.0,0.0,11940,4693.75
2008-03-13,4550.0,4650.0,4510.0,4589.0,7725,4555.0
2008-03-16,4650.0,4700.0,4600.0,4644.25,10225,4589.0
2008-03-17,4612.25,4649.0,4600.0,4611.5,8520,4644.25
2008-03-18,4606.0,4650.0,4600.0,4616.5,10310,4611.5
2008-03-19,4650.0,4650.0,4591.0,4616.25,8145,4616.5
2008-03-20,4650.0,4650.0,4593.0,4620.75,9945,4616.25
2008-03-23,4630.0,4650.0,4597.0,4601.5,11540,4620.75
2008-03-24,4636.0,4640.0,4605.5,4611.25,10120,4601.5
2008-03-25,4645.0,4985.0,4645.0,0.0,19485,4611.25
2008-03-30,5094.0,5342.25,5015.0,5342.25,23485,4967.25
2008-03-31,5598.0,5680.0,5450.0,5461.25,23335,5342.25
2008-04-01,5500.0,5570.0,5390.0,5547.75,17945,5461.25
2008-04-02,5590.0,5900.0,5530.0,5859.75,23855,5547.75
2008-04-03,5900.0,5950.0,5700.0,5766.25,22330,5859.75
2008-04-06,5740.0,5775.0,5590.0,5618.25,18000,5766.25
2008-04-07,5649.0,5650.0,5455.0,5631.5,18755,5618.25
2008-04-08,5650.0,5847.0,5600.0,5765.25,15155,5631.5
2008-04-09,5825.0,5890.0,5710.25,5741.5,17520,5765.25
2008-04-10,5780.0,5799.0,5680.25,5737.5,10375,5741.5
2008-04-13,5750.0,5817.0,5702.0,5769.25,17170,5737.5
2008-04-15,5829.0,5830.0,5726.0,5753.0,18620,5769.25
2008-04-16,5753.0,0.0,0.0,5753.0,0,5753.0
2008-04-17,5465.5,5465.5,3010.0,3115.5,46310,5753.0
2008-04-20,3051.0,3115.0,2901.0,2933.25,24345,3115.5
2008-04-21,3018.0,3018.0,2783.0,2798.25,29565,2933.25
2008-04-22,2840.0,2840.0,2725.0,2748.0,19735,2798.25
2008-04-23,2750.0,2810.0,2720.0,2792.5,10730,2748.0
2008-04-24,2830.0,2980.0,2801.0,2920.25,12970,2792.5
2008-04-27,2979.0,3048.0,2966.0,3022.5,18830,2920.25
2008-04-28,3045.0,3049.0,2950.0,2966.5,16920,3022.5
2008-04-29,2990.0,3010.0,2931.0,2957.0,13930,2966.5
2008-04-30,2990.0,2999.5,2937.0,2970.75,16605,2957.0
2008-05-04,3009.0,3039.0,2975.5,2983.5,13560,2970.75
2008-05-05,2990.0,3000.0,2945.0,2952.0,14485,2983.5
2008-05-06,2970.0,2975.0,2940.0,2944.5,9445,2952.0
2008-05-07,2950.0,2950.0,2900.0,2907.5,12830,2944.5
2008-05-08,2940.0,2950.0,2901.0,2914.0,13155,2907.5
2008-05-11,2915.25,2925.0,2880.0,2891.25,15225,2914.0
2008-05-12,2900.0,2907.0,2852.0,2862.75,10930,2891.25
2008-05-13,2855.0,2860.0,2801.0,2828.0,15250,2862.75
2008-05-14,2855.0,2855.0,2801.0,2810.5,11615,2828.0
2008-05-15,2811.0,2860.0,2810.0,2822.0,11140,2810.5
2008-05-18,2845.0,2845.0,2770.0,2783.5,15540,2822.0
2008-05-20,2800.0,2800.0,2730.0,2739.75,11520,2783.5
2008-05-21,2726.0,2749.0,2682.0,2728.75,8925,2739.75
2008-05-22,2720.25,2778.5,2700.0,2742.75,15495,2728.75
2008-05-25,2720.0,2725.0,2640.0,2645.0,41105,2742.75
2008-05-26,2650.0,2651.0,2619.75,2625.0,24440,2645.0
2008-05-27,2632.0,2635.0,2601.0,2614.25,19460,2625.0
2008-05-28,2606.0,2800.0,2606.0,2770.25,22265,2614.25
2008-05-29,2799.75,2899.0,2780.25,2878.75,28380,2770.25
2008-06-01,2900.0,2980.0,2865.0,2932.0,25655,2878.75
2008-06-02,2970.0,2970.0,2860.0,2873.5,16890,2932.0
2008-06-03,2865.0,2895.0,2790.0,2849.5,19675,2873.5
2008-06-04,2860.0,2895.0,2840.0,2866.75,12225,2849.5
2008-06-05,2860.0,2888.0,2840.0,2851.25,17975,2866.75
2008-06-08,2825.5,2869.0,2805.0,2831.75,18055,2851.25
2008-06-09,2820.0,2839.0,2775.0,2788.25,13550,2831.75
2008-06-10,2780.0,2827.0,2780.0,2800.25,10885,2788.25
2008-06-11,2785.25,2815.0,2755.0,2769.25,11255,2800.25
2008-06-12,2800.0,2820.0,2765.0,2800.75,10390,2769.25
2008-06-15,2801.0,2825.0,2795.0,2802.5,9180,2800.75
2008-06-16,2800.0,2810.0,2781.0,0.0,9445,2802.5
2008-06-17,2825.0,2840.0,2800.0,2826.5,8995,2794.75
2008-06-18,2820.0,2848.5,2805.0,0.0,11960,2826.5
2008-06-19,2810.5,2826.0,2800.0,2814.5,9550,2823.75
2008-06-22,2807.0,2820.0,2795.0,0.0,15320,2814.5
2008-06-23,2810.0,2820.0,2797.0,0.0,11500,2814.25
2008-06-24,2805.0,2830.0,2804.0,2812.5,12830,2805.25
2008-06-25,2835.0,2897.0,2815.0,2837.0,15770,2812.5
2008-06-26,2835.0,2869.0,2820.0,2841.75,15735,2837.0
2008-06-29,2860.0,2868.0,2805.0,2819.25,19595,2841.75
2008-06-30,2868.0,2868.0,2810.0,2817.0,25565,2819.25
2008-07-02,2821.5,3030.0,2821.0,3003.0,40705,2817.0
2008-07-03,3030.0,3050.0,2952.0,2987.25,27730,3003.0
2008-07-06,2967.0,3004.0,2913.0,2965.5,22870,2987.25
2008-07-07,2995.0,2995.0,2912.25,2920.5,17625,2965.5
2008-07-08,2910.0,2951.0,2870.0,2886.25,17575,2920.5
2008-07-08,2910.0,2951.0,2870.0,2886.25,17575,2920.5
2008-07-09,2865.0,2889.0,2865.0,2881.25,5620,2886.25
2008-07-10,2890.0,2900.0,2840.0,2849.25,19360,2881.25
2008-07-13,2898.0,2898.0,2816.0,2858.25,17680,2849.25
2008-07-14,2861.0,2865.0,2830.0,2851.75,15960,2858.25
2008-07-15,2856.0,2865.0,2815.0,2822.25,19060,2851.75
2008-07-16,2839.25,2849.0,2810.0,2823.0,23575,2822.25
2008-07-17,2832.0,2880.0,2816.0,2821.0,17395,2823.0
2008-07-20,2845.0,2857.0,2800.0,2816.25,23240,2821.0
2008-07-21,2849.0,2850.0,2802.0,2812.25,23925,2816.25
2008-07-22,2800.0,2840.0,2783.0,2807.0,21020,2812.25
2008-07-23,2801.0,2834.0,2776.0,2796.5,20480,2807.0
2008-07-24,2810.0,2840.0,2798.0,2826.5,18595,2796.5
2008-07-27,2852.0,2852.0,2807.0,2812.5,16140,2826.5
2008-07-28,2850.0,2850.0,2805.0,2812.75,16270,2812.5
2008-07-29,2810.0,2829.0,2785.0,2791.25,18125,2812.75
2008-07-30,2800.0,2998.0,2795.0,2867.0,28170,2791.25
2008-07-31,2897.75,2898.0,2819.0,2825.5,18905,2867.0
2008-08-03,2820.0,2821.0,2792.0,2795.25,18835,2825.5
2008-08-04,2776.0,2810.0,2774.25,2789.0,25875,2795.25
2008-08-05,2785.0,2810.0,2778.0,2787.5,19605,2789.0
2008-08-06,2786.0,2800.0,2775.0,2778.0,20625,2787.5
2008-08-07,2776.0,2794.0,2745.0,2753.75,18535,2778.0
2008-08-10,2772.0,2800.0,2750.0,2755.5,10550,2753.75
2008-08-11,2750.0,2757.0,2675.0,2738.75,16700,2755.5
2008-08-12,2762.0,2800.0,2740.0,2751.5,13580,2738.75
2008-08-13,2761.0,2775.0,2745.0,2748.75,12470,2751.5
2008-08-14,2769.0,2769.0,2736.25,2744.75,14220,2748.75
2008-08-18,2760.0,2819.0,2760.0,2779.5,17825,2744.75
2008-08-19,2771.0,2786.0,2738.0,2744.0,19260,2779.5
