date,open,high,low,close,volume,prev_closing_price
2008-03-06,680.0,682.0,667.25,670.25,14600,669.75
2008-03-09,670.0,685.0,670.0,675.5,9650,670.25
2008-03-09,670.0,685.0,670.0,675.5,9650,670.25
2008-03-10,679.75,690.0,675.0,685.5,11150,675.5
2008-03-11,680.5,680.5,673.5,677.0,12350,685.5
2008-03-12,673.0,695.0,673.0,679.5,18000,677.0
2008-03-13,680.0,689.0,673.0,675.0,8450,679.5
2008-03-16,675.0,675.0,665.0,669.25,13050,675.0
2008-03-17,660.0,660.0,620.0,627.5,41250,669.25
2008-03-18,621.0,643.75,621.0,641.75,12950,627.5
2008-03-19,641.0,659.0,640.25,650.75,10700,641.75
2008-03-20,641.75,650.0,641.75,645.5,10500,650.75
2008-03-23,645.5,650.0,642.5,643.75,8450,645.5
2008-03-24,643.25,644.0,639.25,640.75,8350,643.75
2008-03-25,650.0,661.0,647.0,654.0,8600,640.75
2008-03-30,654.0,0.0,0.0,654.0,0,654.0
2008-03-31,635.0,648.0,635.0,639.25,9500,654.0
2008-04-01,636.25,652.0,636.25,644.75,15550,639.25
2008-04-02,646.0,670.0,642.0,662.75,23150,644.75
2008-04-03,672.0,672.0,650.0,652.25,17500,662.75
2008-04-06,664.75,664.75,648.25,659.75,18600,652.25
2008-04-07,658.0,662.0,646.5,651.0,10100,659.75
2008-04-08,664.0,680.0,656.0,672.75,27900,651.0
2008-04-09,689.0,710.0,681.0,687.75,45000,672.75
2008-04-10,690.25,700.0,682.0,697.0,18150,687.75
2008-04-13,698.0,749.0,698.0,736.0,43600,697.0
2008-04-15,760.0,810.0,742.0,759.25,41300,736.0
2008-04-16,751.0,769.0,731.25,748.5,26250,759.25
2008-04-17,750.0,750.0,700.0,707.75,26000,748.5
2008-04-20,710.0,755.0,700.0,746.0,22050,707.75
2008-04-21,759.0,759.0,714.0,718.0,20450,746.0
2008-04-22,712.0,724.0,705.0,716.5,10050,718.0
2008-04-23,720.0,750.0,720.0,723.25,16000,716.5
2008-04-24,712.0,730.0,701.25,706.0,10300,723.25
2008-04-27,710.0,716.0,701.0,704.0,8300,706.0
2008-04-28,710.0,710.0,670.0,674.5,11800,704.0
2008-04-29,672.0,685.0,665.25,666.75,8250,674.5
2008-04-30,670.25,680.0,656.5,657.75,8000,666.75
2008-05-04,652.0,669.0,642.0,651.0,9700,657.75
2008-05-05,655.25,665.0,648.0,649.75,6650,651.0
2008-05-06,641.0,678.5,641.0,665.25,8000,649.75
2008-05-07,678.0,699.0,670.0,672.25,13550,665.25
2008-05-08,683.0,706.5,681.5,703.5,29250,672.25
2008-05-11,709.75,744.0,703.0,705.25,18700,703.5
2008-05-12,710.0,710.25,690.0,693.0,11900,705.25
2008-05-13,690.0,698.0,683.0,684.5,5400,693.0
2008-05-14,672.0,720.0,672.0,710.75,32000,684.5
2008-05-15,719.75,768.75,717.0,754.0,61100,710.75
2008-05-18,780.0,810.0,780.0,791.0,65150,754.0
2008-05-20,812.0,812.0,760.0,796.5,44450,791.0
2008-05-21,800.0,800.0,730.0,754.0,31850,796.5
2008-05-22,750.0,781.75,750.0,760.75,26150,754.0
2008-05-25,769.0,848.0,760.0,828.0,55650,760.75
2008-05-26,835.0,949.0,835.0,932.0,82600,828.0
2008-05-27,960.0,1020.0,900.0,935.5,55450,932.0
2008-05-28,900.0,950.0,876.0,929.0,47150,935.5
2008-05-29,950.0,998.0,881.0,895.0,44450,929.0
2008-06-01,880.0,934.0,871.0,873.5,22350,895.0
2008-06-02,872.0,920.0,872.0,914.25,32900,873.5
2008-06-03,924.0,933.0,882.0,886.5,21900,914.25
2008-06-04,913.0,915.0,878.0,886.5,29600,886.5
2008-06-05,909.0,925.0,890.0,919.75,34200,886.5
2008-06-08,929.75,967.5,929.5,953.5,41400,919.75
2008-06-09,925.0,948.0,886.75,898.0,28850,953.5
2008-06-10,875.0,922.0,875.0,895.0,17900,898.0
2008-06-11,900.0,900.0,850.0,855.75,14500,895.0
2008-06-12,870.0,894.75,837.0,849.25,12050,855.75
2008-06-15,861.0,877.0,795.0,804.75,12000,849.25
2008-06-16,772.0,820.0,760.0,813.75,16150,804.75
2008-06-17,826.75,827.0,796.0,799.0,8200,813.75
2008-06-18,808.5,824.0,801.0,805.5,10100,799.0
2008-06-19,812.0,813.0,795.0,799.75,7200,805.5
2008-06-22,793.0,793.0,776.0,778.25,4250,799.75
2008-06-23,780.0,780.0,764.0,773.25,5050,778.25
2008-06-24,797.0,820.0,796.25,813.0,10900,773.25
2008-06-25,824.5,839.0,811.0,812.25,8600,813.0
2008-06-26,792.25,828.5,792.25,805.0,10100,812.25
2008-06-29,795.25,804.0,791.0,795.5,5150,805.0
2008-06-30,825.0,825.0,795.0,797.75,11700,795.5
2008-07-02,771.0,819.0,771.0,796.5,9600,797.75
2008-07-03,796.0,799.75,781.25,785.0,6350,796.5
2008-07-06,800.0,800.0,789.0,790.5,5200,785.0
2008-07-07,788.0,790.0,780.0,782.75,5050,790.5
2008-07-08,775.5,792.0,772.0,782.0,6600,782.75
2008-07-08,775.5,792.0,772.0,782.0,6600,782.75
2008-07-09,782.0,809.0,782.0,791.0,2650,782.0
2008-07-10,812.5,812.5,781.0,789.75,10950,791.0
2008-07-13,798.75,833.75,786.25,826.0,18950,789.75
2008-07-14,830.0,864.0,830.0,852.75,29150,826.0
2008-07-15,865.0,925.0,865.0,900.5,38000,852.75
2008-07-16,907.0,930.0,866.0,869.5,26850,900.5
2008-07-17,901.0,909.0,862.0,866.25,15950,869.5
2008-07-20,860.0,864.75,830.0,839.75,17500,866.25
2008-07-21,883.0,883.0,838.0,838.75,16250,839.75
2008-07-22,830.0,893.75,830.0,845.75,18150,838.75
2008-07-23,842.0,867.75,840.0,858.75,13000,845.75
2008-07-24,856.0,895.0,850.25,870.75,45950,858.75
2008-07-27,880.0,914.0,872.0,901.25,36600,870.75
2008-07-28,925.0,925.0,880.0,887.75,33050,901.25
2008-07-29,880.0,890.0,872.0,875.5,16100,887.75
2008-07-30,881.0,885.25,860.25,865.0,20250,875.5
2008-07-31,870.0,870.0,830.0,845.0,7950,865.0
2008-08-03,837.25,837.25,803.0,813.5,19900,845.0
2008-08-04,829.0,830.0,800.0,808.25,10700,813.5
2008-08-05,797.0,835.0,796.0,801.75,11850,808.25
2008-08-06,820.0,820.0,795.0,803.75,15750,801.75
2008-08-07,805.5,812.0,799.0,801.25,6250,803.75
2008-08-10,808.75,810.0,781.0,783.5,7650,801.25
2008-08-11,780.0,792.0,773.0,786.0,7650,783.5
2008-08-12,795.0,800.0,781.5,788.25,6850,786.0
2008-08-13,792.0,794.0,770.0,771.75,10300,788.25
2008-08-14,761.0,790.0,761.0,772.5,6250,771.75
2008-08-18,769.0,786.75,760.0,777.5,4000,772.5
2008-08-19,780.0,780.0,743.25,750.5,10850,777.5
2008-08-20,752.0,797.0,752.0,780.25,8850,750.5
2008-08-21,766.0,825.0,766.0,819.75,15350,780.25
2008-08-25,830.0,835.0,800.0,818.75,9950,819.75
2008-08-26,811.0,835.0,810.0,830.0,8550,818.75
2008-08-27,835.0,844.0,813.0,814.75,12250,830.0
2008-08-28,814.0,817.0,810.0,812.5,5700,814.75
2008-08-31,820.0,824.0,811.0,817.5,7750,812.5
