date,open,high,low,close,volume,prev_closing_price
2016-01-17,11.0,18.0,9.7,13.0,296350,0.0
2016-01-18,13.0,13.0,11.2,12.2,40000,13.0
2016-01-19,11.4,11.4,11.0,11.0,42980,12.2
2016-01-20,10.0,10.3,9.9,10.1,195769,11.0
2016-01-21,10.0,10.3,10.0,10.3,45980,10.1
2016-01-24,10.1,10.3,9.3,9.9,85146,10.3
2016-01-25,9.6,10.3,9.6,10.1,31901,9.9
2016-01-26,9.7,10.1,9.7,10.0,23300,10.1
2016-01-27,10.2,10.2,9.9,10.1,4050,10.0
2016-01-28,10.0,10.0,9.5,9.9,9800,10.1
2016-01-31,10.0,10.1,9.9,10.0,26158,9.9
2016-02-01,10.1,10.1,9.7,10.0,3750,10.0
2016-02-02,9.6,10.0,9.6,10.0,9173,10.0
2016-02-03,10.0,10.0,9.8,9.9,15285,10.0
2016-02-04,9.9,9.9,9.8,9.8,4500,9.9
2016-02-07,10.0,10.0,9.8,10.0,1100,9.8
2016-02-08,9.8,9.9,9.8,9.8,5700,10.0
2016-02-09,9.9,9.9,9.8,9.8,3000,9.8
2016-02-10,10.0,10.3,9.8,10.1,6300,9.8
2016-02-11,0.0,0.0,0.0,10.1,0,10.1
2016-02-14,9.8,9.8,9.8,9.8,2000,10.1
2016-02-15,9.6,9.6,9.4,9.6,4650,9.8
2016-02-16,9.5,9.5,9.5,9.5,1350,9.6
2016-02-17,9.8,10.0,9.8,9.9,10404,9.5
2016-02-18,9.7,9.7,9.6,9.6,1890,9.9
2016-02-22,9.5,10.1,9.5,9.9,5300,9.6
2016-02-23,9.7,10.0,9.7,9.9,1850,9.9
2016-02-24,0.0,0.0,0.0,9.9,0,9.9
2016-02-25,10.0,10.0,10.0,10.0,100,9.9
2016-02-28,9.6,9.6,9.6,9.6,2000,10.0
2016-02-29,9.7,9.7,9.7,9.7,250,9.6
2016-03-01,9.7,10.0,9.7,9.7,4100,9.7
2016-03-02,0.0,0.0,0.0,9.7,0,9.7
2016-03-03,0.0,0.0,0.0,9.7,0,9.7
2016-03-06,0.0,0.0,0.0,9.7,0,9.7
2016-03-07,0.0,0.0,0.0,9.7,0,9.7
2016-03-08,0.0,0.0,0.0,9.7,0,9.7
2016-03-09,10.0,10.0,10.0,10.0,100,9.7
2016-03-10,0.0,0.0,0.0,10.0,0,10.0
2016-03-13,9.7,9.7,9.7,9.7,900,10.0
2016-03-14,0.0,0.0,0.0,9.7,0,9.7
2016-03-15,9.7,9.7,9.7,9.7,1650,9.7
2016-03-16,0.0,0.0,0.0,9.7,0,9.7
2016-03-20,9.7,9.7,9.7,9.7,500,9.7
2016-03-21,9.6,9.6,9.6,9.6,1500,9.7
2016-03-22,9.5,9.5,9.5,9.5,1600,9.6
2016-03-23,0.0,0.0,0.0,9.5,0,9.5
2016-03-24,0.0,0.0,0.0,9.5,0,9.5
2016-03-27,9.5,9.5,9.5,9.5,325,9.5
2016-03-28,9.6,9.6,9.5,9.6,5900,9.5
2016-03-29,0.0,0.0,0.0,9.6,0,9.6
2016-03-30,0.0,0.0,0.0,9.6,0,9.6
2016-03-31,0.0,0.0,0.0,9.6,0,9.6
2016-04-03,9.6,9.6,9.3,9.3,5500,9.6
2016-04-04,9.5,9.5,9.2,9.2,4583,9.3
2016-04-05,9.2,9.2,9.2,9.2,5000,9.2
2016-04-06,9.2,9.2,9.0,9.1,4917,9.2
2016-04-07,9.2,9.2,9.2,9.2,5000,9.1
2016-04-10,9.1,9.5,8.6,9.2,76173,9.2
2016-04-11,9.4,9.4,9.4,9.4,100,9.2
2016-04-12,0.0,0.0,0.0,9.4,0,9.4
2016-04-13,0.0,0.0,0.0,9.4,0,9.4
2016-04-17,0.0,0.0,0.0,9.4,0,9.4
2016-04-18,9.2,9.4,9.2,9.3,1000,9.4
2016-04-19,9.6,9.6,9.0,9.1,1100,9.3
2016-04-20,0.0,0.0,0.0,9.1,0,9.1
2016-04-21,9.1,9.1,9.0,9.1,2020,9.1
2016-04-24,0.0,0.0,0.0,9.1,0,9.1
2016-04-25,0.0,0.0,0.0,9.1,0,9.1
2016-04-26,0.0,0.0,0.0,9.1,0,9.1
2016-04-27,0.0,0.0,0.0,9.1,0,9.1
2016-04-28,0.0,0.0,0.0,9.1,0,9.1
2016-05-02,0.0,0.0,0.0,9.1,0,9.1
2016-05-03,0.0,0.0,0.0,9.1,0,9.1
2016-05-04,0.0,0.0,0.0,9.1,0,9.1
2016-05-05,0.0,0.0,0.0,9.1,0,9.1
2016-05-08,0.0,0.0,0.0,9.1,0,9.1
2016-05-09,8.6,8.6,8.5,8.5,500,9.1
2016-05-10,8.9,8.9,8.9,8.9,100,8.5
2016-05-11,9.0,9.0,9.0,9.0,202,8.9
2016-05-12,0.0,0.0,0.0,9.0,0,9.0
2016-05-15,0.0,0.0,0.0,9.0,0,9.0
2016-05-16,9.3,9.3,9.3,9.3,100,9.0
2016-05-17,0.0,0.0,0.0,9.3,0,9.3
2016-05-18,8.6,8.6,8.5,8.5,2400,9.3
2016-05-19,0.0,0.0,0.0,8.5,0,8.5
2016-05-22,9.2,9.2,9.2,9.2,5000,8.5
2016-05-24,0.0,0.0,0.0,9.2,0,9.2
2016-05-25,0.0,0.0,0.0,9.2,0,9.2
2016-05-26,8.9,8.9,8.9,8.9,500,9.2
2016-05-29,0.0,0.0,0.0,8.9,0,8.9
2016-05-30,9.5,9.7,9.0,9.5,7000,8.9
2016-05-31,0.0,0.0,0.0,9.5,0,9.5
2016-06-01,0.0,0.0,0.0,9.5,0,9.5
2016-06-02,9.0,9.0,9.0,9.0,500,9.5
2016-06-05,9.0,9.0,8.9,9.0,1800,9.0
2016-06-06,9.3,9.3,9.0,9.0,1802,9.0
2016-06-07,0.0,0.0,0.0,9.0,0,9.0
2016-06-08,0.0,0.0,0.0,9.0,0,9.0
2016-06-09,0.0,0.0,0.0,9.0,0,9.0
2016-06-12,0.0,0.0,0.0,9.0,0,9.0
2016-06-13,0.0,0.0,0.0,9.0,0,9.0
2016-06-14,9.5,9.5,9.2,9.2,1002,9.0
2016-06-15,9.2,9.2,9.2,9.2,1000,9.2
2016-06-16,9.1,9.1,9.1,9.1,5000,9.2
2016-06-19,0.0,0.0,0.0,9.1,0,9.1
2016-06-20,0.0,0.0,0.0,9.1,0,9.1
2016-06-21,0.0,0.0,0.0,9.1,0,9.1
2016-06-22,9.1,10.0,9.1,9.2,8500,9.1
2016-06-23,10.0,10.0,10.0,10.0,5000,9.2
2016-06-26,10.4,10.4,9.0,9.9,5001,10.0
2016-06-27,9.9,9.9,9.1,9.5,1000,9.9
2016-06-28,9.8,10.2,9.8,9.9,3500,9.5
2016-06-29,9.4,9.4,9.4,9.4,2500,9.9
2016-06-30,9.4,9.9,9.4,9.8,3395,9.4
2016-07-10,10.7,10.7,10.5,10.6,56200,9.8
2016-07-11,11.3,11.6,11.2,11.5,172850,10.6
2016-07-12,11.9,11.9,10.9,11.0,95570,11.5
2016-07-13,10.6,10.9,9.9,10.0,46300,11.0
2016-07-14,10.4,10.4,9.8,10.0,35100,10.0
2016-07-16,10.0,10.0,9.7,9.8,33423,10.0
2016-07-17,9.5,10.2,9.4,9.9,25500,9.8
2016-07-18,10.0,10.0,9.6,9.8,3505,9.9
2016-07-19,9.8,10.0,9.8,9.8,293,9.8
2016-07-20,9.9,9.9,9.4,9.6,4600,9.8
2016-07-21,9.6,10.0,9.5,9.7,4261,9.6
2016-07-24,9.9,10.0,9.7,9.8,4051,9.7
2016-07-25,9.8,9.9,9.6,9.9,598,9.8
2016-07-26,0.0,0.0,0.0,9.9,0,9.9
2016-07-27,9.9,9.9,9.5,9.7,8029,9.9
2016-07-28,9.7,10.0,9.7,9.9,8100,9.7
2016-07-31,10.5,10.5,9.9,10.1,37603,9.9
2016-08-01,10.3,10.4,10.0,10.0,285509,10.1
2016-08-02,10.2,10.4,10.0,10.1,461604,10.0
2016-08-03,10.2,10.3,10.0,10.1,254045,10.1
2016-08-04,10.0,10.1,9.8,9.9,85850,10.1
2016-08-07,10.0,10.1,9.7,10.1,189115,9.9
2016-08-08,9.9,10.1,9.9,9.9,97098,10.1
2016-08-09,9.9,9.9,9.7,9.8,60864,9.9
2016-08-10,9.7,9.8,9.5,9.6,61493,9.8
2016-08-11,9.5,9.5,8.8,9.3,45507,9.6
2016-08-14,9.0,9.1,8.5,8.7,43470,9.3
2016-08-16,8.7,9.5,8.5,9.5,55294,8.7
2016-08-17,9.5,9.7,9.4,9.5,42936,9.5
2016-08-18,9.5,9.5,8.9,9.1,19668,9.5
2016-08-21,9.2,9.3,9.1,9.1,8009,9.1
2016-08-22,9.3,9.8,8.9,9.1,68101,9.1
