date,open,high,low,close,volume,prev_closing_price
2016-12-05,11.0,11.1,9.2,9.5,350915,0.0
2016-12-06,9.3,9.4,9.1,9.2,113100,9.5
2016-12-07,9.1,9.2,8.8,8.9,246182,9.2
2016-12-08,8.9,9.0,8.7,8.9,72284,8.9
2016-12-11,8.8,9.0,8.8,8.8,76670,8.9
2016-12-12,8.7,8.9,8.6,8.7,44700,8.8
2016-12-14,8.7,8.7,8.6,8.7,52830,8.7
2016-12-15,8.6,8.8,8.6,8.6,43760,8.7
2016-12-18,8.7,8.7,8.4,8.5,73180,8.6
2016-12-19,8.4,8.5,8.3,8.4,37600,8.5
2016-12-20,8.4,8.5,8.3,8.5,47573,8.4
2016-12-21,8.5,8.5,8.4,8.5,14050,8.5
2016-12-22,8.5,8.7,8.5,8.6,18851,8.5
2016-12-26,8.7,8.8,8.5,8.5,37634,8.6
2016-12-27,8.6,9.1,8.6,9.0,82361,8.5
2016-12-28,9.1,9.3,8.7,8.8,46455,9.0
2016-12-29,8.8,9.0,8.8,8.9,33159,8.8
2017-01-01,9.0,9.1,8.9,8.9,41894,8.9
2017-01-02,8.9,8.9,8.8,8.8,33572,8.9
2017-01-03,8.8,8.8,8.7,8.7,48490,8.8
2017-01-04,8.7,8.8,8.6,8.6,59810,8.7
2017-01-05,8.7,8.8,8.5,8.7,37635,8.6
2017-01-08,8.8,8.8,8.6,8.7,28550,8.7
2017-01-09,8.7,8.9,8.6,8.9,44465,8.7
2017-01-10,8.9,8.9,8.7,8.9,41790,8.9
2017-01-11,9.0,9.1,8.8,9.1,128954,8.9
2017-01-12,9.1,9.9,9.1,9.8,335306,9.1
2017-01-15,9.8,10.1,9.7,9.9,182423,9.8
2017-01-16,10.1,10.1,9.6,9.7,79373,9.9
2017-01-17,9.8,9.9,9.6,9.7,265177,9.7
2017-01-18,9.8,9.8,9.6,9.7,73521,9.7
2017-01-19,9.7,9.7,9.4,9.5,43753,9.7
2017-01-22,9.7,9.9,9.7,9.8,117173,9.5
2017-01-23,9.8,9.8,9.8,9.8,22690,9.8
2017-01-24,9.7,10.1,9.7,9.8,80538,9.8
2017-01-25,9.8,9.8,9.1,9.5,22845,9.8
2017-01-26,9.5,9.5,9.4,9.4,1700,9.5
2017-01-29,9.4,9.4,9.2,9.3,1810,9.4
2017-01-30,9.1,9.2,9.0,9.1,14901,9.3
2017-01-31,9.4,9.4,8.9,9.1,5900,9.1
2017-02-01,9.1,9.4,8.9,8.9,34144,9.1
2017-02-02,9.0,9.0,8.8,9.0,8600,8.9
2017-02-05,8.8,8.8,8.7,8.7,26460,9.0
2017-02-06,8.8,8.8,8.4,8.5,42905,8.7
2017-02-07,8.5,8.5,8.4,8.5,26385,8.5
2017-02-08,8.6,9.0,8.6,8.9,23711,8.5
2017-02-09,9.0,9.0,8.8,8.9,7400,8.9
2017-02-12,8.9,9.0,8.8,8.8,25091,8.9
2017-02-13,8.9,8.9,8.6,8.7,14310,8.8
2017-02-14,8.9,8.9,8.7,8.9,38100,8.7
2017-02-15,8.9,9.0,8.9,9.0,37353,8.9
2017-02-16,9.0,9.0,8.9,9.0,1500,9.0
2017-02-19,9.0,9.0,8.8,8.9,42101,9.0
2017-02-20,8.8,8.8,8.8,8.8,8499,8.9
2017-02-22,8.8,8.9,8.6,8.8,23000,8.8
2017-02-23,8.7,8.7,8.7,8.7,2500,8.8
2017-02-26,8.7,8.7,8.7,8.7,3000,8.7
2017-02-27,8.9,8.9,8.7,8.7,7294,8.7
2017-02-28,8.7,8.7,8.7,8.7,3000,8.7
2017-03-01,8.7,8.8,8.7,8.7,2500,8.7
2017-03-02,8.7,8.7,8.7,8.7,7355,8.7
2017-03-05,8.8,8.8,8.7,8.7,9100,8.7
2017-03-06,8.7,8.7,8.7,8.7,8708,8.7
2017-03-07,8.7,8.7,8.6,8.7,25680,8.7
2017-03-08,8.7,8.7,8.6,8.7,2984,8.7
2017-03-09,8.6,8.6,8.6,8.6,17500,8.7
2017-03-12,8.7,8.7,8.6,8.7,12700,8.6
2017-03-13,8.7,8.7,8.7,8.7,21039,8.7
2017-03-14,8.8,8.8,8.7,8.7,9500,8.7
2017-03-15,8.8,8.8,8.5,8.6,108900,8.7
2017-03-16,8.7,8.8,8.7,8.7,47587,8.6
2017-03-19,8.7,8.7,8.7,8.7,9045,8.7
2017-03-20,8.7,8.7,8.6,8.6,27700,8.7
2017-03-21,8.6,8.8,8.6,8.7,28597,8.6
2017-03-22,8.8,8.9,8.8,8.8,26630,8.7
2017-03-23,8.7,8.7,8.6,8.7,11000,8.8
2017-03-27,8.8,8.8,8.8,8.8,1350,8.7
2017-03-28,8.8,8.8,8.6,8.7,22551,8.8
2017-03-29,8.7,8.7,8.6,8.7,10479,8.7
2017-03-30,0.0,0.0,0.0,8.7,0,8.7
2017-04-02,8.6,8.7,8.6,8.6,1090,8.7
2017-04-03,8.7,8.8,8.7,8.7,27735,8.6
2017-04-04,8.7,8.8,8.7,8.7,12883,8.7
2017-04-05,8.7,8.7,8.6,8.6,30110,8.7
2017-04-06,8.7,8.7,8.7,8.7,9500,8.6
2017-04-09,8.6,8.7,8.6,8.6,12470,8.7
2017-04-10,8.6,8.6,8.6,8.6,12935,8.6
2017-04-11,8.6,8.7,8.6,8.7,12770,8.6
2017-04-12,8.7,8.8,8.7,8.7,3630,8.7
2017-04-13,8.7,8.7,8.7,8.7,262,8.7
2017-04-16,8.7,8.7,8.7,8.7,5038,8.7
2017-04-17,8.6,8.7,8.6,8.7,2000,8.7
2017-04-18,8.7,8.7,8.7,8.7,4259,8.7
2017-04-19,8.8,8.8,8.6,8.8,33081,8.7
2017-04-20,8.7,8.8,8.7,8.7,12625,8.8
2017-04-23,8.6,8.7,8.6,8.6,8700,8.7
2017-04-24,8.5,8.5,8.5,8.5,4000,8.6
2017-04-25,8.6,8.6,8.6,8.6,8500,8.5
2017-04-26,8.5,8.6,8.5,8.5,11289,8.6
2017-04-27,8.5,8.5,8.5,8.5,11000,8.5
2017-04-30,8.5,8.5,8.5,8.5,6350,8.5
2017-05-02,8.5,8.5,8.5,8.5,12000,8.5
2017-05-03,0.0,0.0,0.0,8.5,0,8.5
2017-05-04,8.6,8.6,8.6,8.6,19913,8.5
2017-05-07,8.6,8.8,8.6,8.7,34128,8.6
2017-05-08,8.7,8.7,8.5,8.7,61985,8.7
2017-05-09,8.7,8.9,8.7,8.8,46500,8.7
2017-05-11,8.6,9.0,8.6,8.9,62040,8.8
2017-05-14,8.9,8.9,8.8,8.9,39700,8.9
2017-05-15,8.9,8.9,8.7,8.9,12999,8.9
2017-05-16,8.8,8.9,8.7,8.9,38500,8.9
2017-05-17,8.8,9.3,8.8,9.2,56152,8.9
2017-05-18,9.4,9.4,8.8,9.1,11538,9.2
2017-05-21,9.0,9.2,9.0,9.1,41601,9.1
2017-05-22,9.1,9.2,9.0,9.1,31599,9.1
2017-05-23,9.1,9.3,9.0,9.2,26678,9.1
2017-05-24,9.4,9.4,9.1,9.2,19600,9.2
2017-05-25,9.2,9.2,9.0,9.1,37690,9.2
2017-05-28,9.0,9.0,9.0,9.0,1750,9.1
2017-05-29,9.2,9.2,9.0,9.1,20475,9.0
2017-05-30,9.0,9.1,8.9,9.0,97800,9.1
2017-05-31,8.9,8.9,8.8,8.8,24724,9.0
2017-06-01,9.1,9.2,8.9,9.0,59249,8.8
2017-06-04,9.0,9.2,9.0,9.1,11590,9.0
2017-06-05,9.1,9.3,9.1,9.2,34805,9.1
2017-06-06,9.3,9.3,9.1,9.2,15200,9.2
2017-06-07,9.2,9.2,8.9,9.0,92500,9.2
2017-06-08,9.0,9.0,9.0,9.0,42150,9.0
2017-06-11,9.1,9.1,9.0,9.0,6557,9.0
2017-06-12,9.1,9.2,9.1,9.2,77320,9.0
2017-06-13,9.1,9.2,9.0,9.1,5200,9.2
2017-06-14,9.2,9.3,9.1,9.3,1449,9.1
2017-06-15,9.3,9.5,9.1,9.3,13292,9.3
2017-06-18,0.0,0.0,0.0,9.3,0,9.3
2017-06-19,9.1,9.1,9.1,9.1,18200,9.3
2017-06-20,9.1,9.3,9.1,9.2,7975,9.1
2017-06-21,9.3,9.4,9.3,9.4,2408,9.2
2017-06-22,9.1,9.3,9.1,9.2,1510,9.4
2017-06-28,9.4,9.4,9.4,9.4,100000,9.2
2017-06-29,9.1,9.3,9.1,9.1,1000,9.4
2017-07-02,9.5,9.5,9.2,9.2,74600,9.1
2017-07-03,9.3,9.4,9.1,9.2,26850,9.2
2017-07-04,9.2,9.3,9.2,9.2,281372,9.2
2017-07-05,9.4,9.4,9.2,9.3,2511,9.2
2017-07-06,9.2,9.4,9.2,9.3,31238,9.3
2017-07-09,9.5,9.5,9.2,9.3,3520,9.3
2017-07-10,9.5,9.5,9.2,9.5,90105,9.3
2017-07-11,9.5,9.5,9.2,9.5,129956,9.5
2017-07-12,9.3,9.4,9.3,9.3,35810,9.5
2017-07-13,9.4,9.5,9.4,9.5,122560,9.3
2017-07-16,9.6,10.0,9.6,9.8,470569,9.5
2017-07-17,9.7,10.0,9.6,10.0,152772,9.8
2017-07-18,10.1,10.2,9.8,10.2,372863,10.0
2017-07-19,9.8,10.0,9.8,10.0,127200,10.2
2017-07-20,10.2,10.2,9.8,10.0,152550,10.0
2017-07-23,10.0,10.2,9.9,10.0,172701,10.0
2017-07-24,10.1,10.2,10.1,10.2,58307,10.0
2017-07-25,10.2,10.4,10.1,10.2,71352,10.2
2017-07-26,10.4,10.4,10.0,10.0,70350,10.2
2017-07-27,9.9,9.9,9.8,9.8,5271,10.0
2017-07-30,10.0,10.2,9.8,10.1,132706,9.8
2017-07-31,10.2,10.2,10.0,10.2,24100,10.1
2017-08-01,10.0,10.0,10.0,10.0,10000,10.2
2017-08-02,10.0,10.0,10.0,10.0,9000,10.0
2017-08-03,10.0,10.1,10.0,10.0,37130,10.0
2017-08-06,10.1,10.1,9.9,10.1,65699,10.0
2017-08-07,10.2,10.2,10.1,10.1,127200,10.1
2017-08-08,10.1,10.1,10.0,10.0,112001,10.1
2017-08-09,10.2,10.3,10.1,10.2,128126,10.0
2017-08-10,10.1,10.1,10.0,10.1,17000,10.2
2017-08-13,10.2,10.2,10.0,10.2,44900,10.1
