date,open,high,low,close,volume,prev_closing_price
2008-03-06,210.0,210.0,208.0,209.0,40,219.0
2008-03-09,209.5,209.5,209.5,209.5,40,209.0
2008-03-09,209.5,209.5,209.5,209.5,40,209.0
2008-03-10,196.0,196.0,196.0,196.0,40,209.5
2008-03-11,200.0,220.0,200.0,209.25,1240,196.0
2008-03-12,210.0,215.0,205.0,208.0,120,209.25
2008-03-13,219.0,229.0,219.0,226.75,440,208.0
2008-03-16,225.0,266.0,225.0,264.25,1220,226.75
2008-03-17,264.25,275.0,245.0,259.0,620,264.25
2008-03-18,259.0,0.0,0.0,0.0,0,259.0
2008-03-19,265.0,289.0,265.0,282.75,820,259.0
2008-03-20,283.0,295.0,280.0,285.5,600,282.75
2008-03-23,280.0,290.0,241.5,278.75,860,285.5
2008-03-24,278.75,0.0,0.0,278.75,0,278.75
2008-03-25,279.0,279.0,240.0,241.75,700,278.75
2008-03-30,220.0,220.0,201.0,212.75,100,241.75
2008-03-31,201.0,212.0,201.0,208.0,540,212.75
2008-04-01,223.0,232.0,223.0,224.75,320,208.0
2008-04-02,245.0,245.0,231.0,233.25,160,224.75
2008-04-03,233.25,0.0,0.0,233.25,0,233.25
2008-04-06,245.0,250.0,240.0,244.0,500,233.25
2008-04-07,239.0,239.0,239.0,239.0,100,244.0
2008-04-08,252.0,252.0,230.0,234.5,220,239.0
2008-04-09,222.0,222.0,222.0,222.0,40,234.5
2008-04-10,240.0,240.0,220.0,224.0,260,222.0
2008-04-13,221.0,221.0,220.0,220.5,240,224.0
2008-04-15,211.0,211.0,211.0,211.0,40,220.5
2008-04-16,220.0,220.0,203.0,215.75,180,211.0
2008-04-17,195.0,200.0,195.0,197.0,60,215.75
2008-04-20,197.0,0.0,0.0,197.0,0,197.0
2008-04-21,188.0,188.0,188.0,188.0,20,197.0
2008-04-22,188.0,0.0,0.0,188.0,0,188.0
2008-04-23,186.0,199.25,186.0,191.5,140,188.0
2008-04-24,209.75,223.0,200.0,209.75,120,191.5
2008-04-27,210.0,210.0,210.0,210.0,20,209.75
2008-04-28,207.0,210.0,207.0,208.75,220,210.0
2008-04-29,210.0,211.0,209.0,210.0,140,208.75
2008-04-30,207.0,208.0,199.0,203.25,580,210.0
2008-05-04,203.25,0.0,0.0,203.25,0,203.25
2008-05-05,203.25,0.0,0.0,203.25,0,203.25
2008-05-06,203.25,0.0,0.0,203.25,0,203.25
2008-05-07,203.25,0.0,0.0,203.25,0,203.25
2008-05-08,186.0,186.0,185.0,185.25,100,203.25
2008-05-11,185.25,0.0,0.0,185.25,0,185.25
2008-05-12,186.0,186.0,185.0,185.0,140,185.25
2008-05-13,185.0,0.0,0.0,185.0,0,185.0
2008-05-14,185.0,185.0,185.0,185.0,100,185.0
2008-05-15,185.0,185.0,185.0,185.0,40,185.0
2008-05-18,180.0,180.0,180.0,180.0,40,185.0
2008-05-20,180.0,0.0,0.0,180.0,0,180.0
2008-05-21,170.0,180.0,170.0,178.5,140,180.0
2008-05-22,181.0,181.0,170.0,177.25,300,178.5
2008-05-25,193.0,210.0,193.0,201.0,60,177.25
2008-05-26,201.0,0.0,0.0,201.0,0,201.0
2008-05-27,199.0,199.0,183.25,193.5,180,201.0
2008-05-28,180.0,180.0,180.0,180.0,100,193.5
2008-05-29,180.0,0.0,0.0,180.0,0,180.0
2008-06-01,190.0,190.0,190.0,190.0,160,180.0
2008-06-02,182.0,185.0,182.0,184.5,160,190.0
2008-06-03,185.0,195.0,185.0,190.0,40,184.5
2008-06-04,177.0,177.0,177.0,177.0,40,190.0
2008-06-05,176.0,178.0,176.0,176.25,100,177.0
2008-06-08,176.25,0.0,0.0,176.25,0,176.25
2008-06-09,180.0,180.0,178.0,179.5,80,176.25
2008-06-10,180.25,180.25,180.25,180.25,60,179.5
2008-06-11,180.25,0.0,0.0,180.25,0,180.25
2008-06-12,185.0,185.0,185.0,185.0,200,180.25
2008-06-15,185.0,185.0,185.0,0.0,20,185.0
2008-06-16,181.0,181.0,181.0,0.0,20,185.0
2008-06-17,181.0,0.0,0.0,181.0,0,181.0
2008-06-18,181.0,0.0,0.0,0.0,0,181.0
2008-06-19,185.0,186.0,185.0,185.75,80,181.0
2008-06-22,185.0,185.0,185.0,0.0,80,185.75
2008-06-23,185.0,186.5,185.0,0.0,340,185.0
2008-06-24,185.0,190.0,185.0,186.5,180,185.0
2008-06-25,188.0,190.0,188.0,189.5,560,186.5
2008-06-26,190.25,191.25,190.25,191.0,300,189.5
2008-06-29,195.0,199.0,194.0,196.0,400,191.0
2008-06-30,191.0,191.0,190.5,190.5,220,196.0
2008-07-02,191.0,191.0,191.0,191.0,20,190.5
2008-07-03,192.0,196.5,192.0,194.0,440,191.0
2008-07-06,201.0,202.0,201.0,201.5,100,194.0
2008-07-07,209.0,216.0,209.0,213.0,760,201.5
2008-07-08,219.0,224.0,213.25,219.5,1480,213.0
2008-07-08,219.0,224.0,213.25,219.5,1480,213.0
2008-07-09,219.5,0.0,0.0,219.5,0,219.5
2008-07-10,218.0,218.0,218.0,218.0,40,219.5
2008-07-13,205.0,210.0,205.0,207.5,40,218.0
2008-07-14,207.0,210.0,207.0,207.0,340,207.5
