date,open,high,low,close,volume,prev_closing_price
2008-03-06,14.9,16.6,14.9,15.7,19100,15.2
2008-03-09,16.0,16.6,16.0,16.4,15800,15.7
2008-03-09,16.0,16.6,16.0,16.4,15800,15.7
2008-03-10,16.9,16.9,15.9,16.0,13900,16.4
2008-03-11,15.9,16.5,15.8,16.2,46400,16.0
2008-03-12,16.8,17.9,16.3,17.7,102000,16.2
2008-03-13,17.8,20.5,17.8,19.7,208000,17.7
2008-03-16,20.5,23.6,20.4,23.4,115400,19.7
2008-03-17,24.9,24.9,21.7,22.0,56000,23.4
2008-03-18,21.5,24.0,21.5,0.0,72900,22.0
2008-03-19,24.8,26.5,23.6,25.0,121200,23.2
2008-03-20,25.7,29.0,25.6,28.2,156600,25.0
2008-03-23,29.1,33.5,26.5,28.6,96000,28.2
2008-03-24,27.6,29.0,27.0,27.5,44800,28.6
2008-03-25,27.4,30.0,27.2,0.0,64600,27.5
2008-03-30,27.0,27.5,24.0,24.3,98600,28.2
2008-03-31,24.4,26.1,24.4,25.6,29800,24.3
2008-04-01,26.8,28.0,26.0,26.5,24900,25.6
2008-04-02,27.5,28.0,25.0,26.1,35000,26.5
2008-04-03,26.1,26.1,24.8,24.9,43800,26.1
2008-04-06,25.1,25.4,24.6,24.9,47300,24.9
2008-04-07,25.0,25.0,23.0,23.2,64700,24.9
2008-04-08,23.5,24.0,21.8,23.2,46700,23.2
2008-04-09,24.0,24.5,23.0,23.3,29700,23.2
2008-04-10,23.0,23.0,22.5,22.6,22700,23.3
2008-04-13,21.8,23.4,21.7,22.6,9200,22.6
2008-04-15,24.7,26.3,22.7,23.4,39000,22.6
2008-04-16,22.0,24.1,22.0,23.3,30600,23.4
2008-04-17,23.3,25.8,23.3,25.3,63800,23.3
2008-04-20,25.0,25.5,24.3,24.5,18600,25.3
2008-04-21,24.2,25.0,24.2,24.9,29200,24.5
2008-04-22,25.2,27.8,24.8,27.1,86800,24.9
2008-04-23,28.0,28.0,26.3,27.2,81900,27.1
2008-04-24,26.0,26.0,24.7,25.1,16900,27.2
2008-04-27,25.1,25.1,23.1,23.6,28900,25.1
2008-04-28,24.5,24.5,22.5,23.0,23200,23.6
2008-04-29,23.3,23.6,23.2,23.3,14700,23.0
2008-04-30,23.1,23.1,22.5,22.7,6400,23.3
2008-05-04,23.5,23.7,22.8,23.0,6300,22.7
2008-05-05,22.1,23.9,22.1,22.2,34100,23.0
2008-05-06,22.2,22.8,22.2,22.5,16300,22.2
2008-05-07,22.3,22.9,22.3,22.3,12300,22.5
2008-05-08,22.8,22.8,20.5,21.1,31100,22.3
2008-05-11,20.7,21.7,20.7,21.2,10700,21.1
2008-05-12,21.0,21.6,20.5,20.8,4200,21.2
2008-05-13,20.0,20.3,20.0,20.1,4600,20.8
2008-05-14,20.0,20.0,18.6,19.0,3900,20.1
2008-05-15,19.1,20.0,19.1,19.3,6400,19.0
2008-05-18,20.0,20.0,18.4,19.5,9900,19.3
2008-05-20,19.0,19.0,18.0,18.0,30600,19.5
2008-05-21,17.5,18.1,17.5,17.7,4100,18.0
2008-05-22,18.0,19.6,18.0,18.9,5200,17.7
2008-05-25,19.1,20.4,19.1,20.1,6500,18.9
2008-05-26,19.2,19.4,19.1,19.2,2700,20.1
2008-05-27,19.1,19.1,17.7,18.2,16600,19.2
2008-05-28,18.9,19.9,18.8,19.4,36900,18.2
2008-05-29,18.9,18.9,18.1,18.4,28800,19.4
2008-06-01,18.4,19.0,18.4,18.6,6000,18.4
2008-06-02,18.9,19.1,18.7,18.8,14200,18.6
2008-06-03,18.2,18.7,17.8,18.0,32400,18.8
