,trading_code,sector,instrument_type
0, ABBANK,Bank,Equity
1, ACI,Pharmaceuticals & Chemicals,Equity
2, ACFL,Textile,Equity
3, AAMRATECH,IT Sector,Equity
4, 1JANATAMF,Mutual Funds,Mutual Fund
5, AAMRANET,IT Sector,Equity
6, ACMELAB,Pharmaceuticals & Chemicals,Equity
7, AFCAGRO,Pharmaceuticals & Chemicals,Equity
8, ACTIVEFINE,Pharmaceuticals & Chemicals,Equity
9, ADNTEL,IT Sector,Equity
10, ACIFORMULA,Pharmaceuticals & Chemicals,Equity
11, ADVENT,Pharmaceuticals & Chemicals,Equity
12, AL-HAJTEX,Textile,Equity
13, AGRANINS,Insurance,Equity
14, AIBL1STIMF,Mutual Funds,Mutual Fund
15, ALARABANK,Bank,Equity
16, ABB1STMF,Mutual Funds,Mutual Fund
17, 1STPRIMFMF,Mutual Funds,Mutual Fund
18, AMCL(PRAN),Food & Allied,Equity
19, AMBEEPHA,Pharmaceuticals & Chemicals,Equity
20, AGNISYSL,IT Sector,Equity
21, AFTABAUTO,Engineering,Equity
22, AIL,Textile,Equity
23, ALLTEX,Textile,Equity
24, APEXSPINN,Textile,Equity
25, APEXFOODS,Food & Allied,Equity
26, ALIF,Textile,Equity
27, APEXTANRY,Tannery Industries,Equity
28, AMANFEED,Miscellaneous,Equity
29, APOLOISPAT,Engineering,Equity
30, ARAMIT,Miscellaneous,Equity
31, ARGONDENIM,Textile,Equity
32, ASIAPACINS,Insurance,Equity
33, ANWARGALV,Engineering,Equity
34, ANLIMAYARN,Textile,Equity
35, APSCLBOND,Corporate Bond,Corporate Bond
36, BANGAS,Food & Allied,Equity
37, BANKASIA,Bank,Equity
38, APEXFOOT,Tannery Industries,Equity
39, BARKAPOWER,Fuel & Power,Equity
40, BATASHOE,Tannery Industries,Equity
41, ARAMITCEM,Cement,Equity
42, ASIAINS,Insurance,Equity
43, BATBC,Food & Allied,Equity
44, BDAUTOCA,Engineering,Equity
45, BBSCABLES,Engineering,Equity
46, ATCSLGF,Mutual Funds,Mutual Fund
47, BDFINANCE,Financial Institutions,Equity
48, ATLASBANG,Engineering,Equity
49, BDLAMPS,Engineering,Equity
50, BEACHHATCH,Food & Allied,Equity
51, BDWELDING,Fuel & Power,Equity
52, BENGALWTL,Engineering,Equity
53, BEACONPHAR,Pharmaceuticals & Chemicals,Equity
54, AZIZPIPES,Engineering,Equity
55, BGIC,Insurance,Equity
56, BIFC,Financial Institutions,Equity
57, BAYLEASING,Financial Institutions,Equity
58, BDCOM,IT Sector,Equity
59, BBS,Engineering,Equity
60, BRACBANK,Bank,Equity
61, BDSERVICE,Travel & Leisure,Equity
